Date,X,Y,Z,Equipo1,Equipo2
2010-11-15,86.7,620.0,2349.75,513.34,1018.8166666666666
2010-11-16,84.73,620.0,2329.25,512.946,1011.3266666666667
2010-11-17,83.28,620.0,2224.5,512.656,975.9266666666666
2010-11-18,85.05,620.0,2262.5,513.01,989.1833333333334
2010-11-19,84.34,612.5,2259.5,506.868,985.4466666666667
2010-11-22,83.96,612.5,2265.25,506.792,987.2366666666667
2010-11-23,83.25,612.5,2220.75,506.65,972.1666666666666
2010-11-24,85.84,612.5,2241.5,507.168,979.9466666666667
2010-11-25,86.1,612.5,2241.5,507.22,980.0333333333333
2010-11-26,85.58,615.0,2238.25,509.116,979.61
2010-11-29,87.34,615.0,2256.5,509.468,986.2800000000001
2010-11-30,85.92,615.0,2244.75,509.184,981.89
2010-12-01,79.3,615.0,2260.25,507.86,984.85
2010-12-02,72.9,615.0,2004.25,506.58,897.3833333333333
2010-12-03,79.39,615.0,2215.5,507.878,969.9633333333333
2010-12-07,74.37,615.0,1966.5,506.874,885.29
2010-12-08,75.52,615.0,2131.25,507.104,940.59
2010-12-10,83.5,625.0,2385.25,516.7,1031.25
2010-12-13,91.19,625.0,2297.5,518.238,1004.5633333333334
2010-12-14,91.21,625.0,2331.5,518.242,1015.9033333333333
2010-12-15,92.2,625.0,2331.5,518.44,1016.2333333333332
2010-12-16,91.71,625.0,2295.5,518.342,1004.07
2010-12-17,91.67,625.0,2306.25,518.334,1007.64
2010-12-20,92.74,625.0,2327.25,518.548,1014.9966666666666
2010-12-21,93.2,625.0,2377.75,518.64,1031.9833333333333
2010-12-22,93.65,625.0,2443.75,518.73,1054.1333333333334
2010-12-23,94.25,625.0,2420.5,518.85,1046.5833333333333
2010-12-24,93.77,625.0,2401.5,518.754,1040.09
2010-12-27,93.85,625.0,2436.25,518.77,1051.7
2010-12-28,94.38,625.0,2436.25,518.876,1051.8766666666668
2010-12-29,94.14,625.0,2436.25,518.828,1051.7966666666666
2010-12-30,93.09,625.0,2449.75,518.618,1055.9466666666667
2010-12-31,94.75,625.0,2458.5,518.95,1059.4166666666667
2011-01-03,115.42,625.0,2581.5,523.0840000000001,1107.3066666666666
2011-01-04,118.7,625.0,2589.25,523.74,1110.9833333333333
2011-01-06,114.53,625.0,2652.75,522.906,1130.76
2011-01-07,111.77,665.0,2485.75,554.354,1087.5066666666667
2011-01-11,109.54,665.0,2091.5,553.908,955.3466666666667
2011-01-12,108.99,665.0,2103.25,553.798,959.0799999999999
2011-01-13,98.06,665.0,2479.25,551.612,1080.77
2011-01-14,98.68,675.0,2452.5,559.736,1075.3933333333334
2011-01-17,97.43,675.0,2438.5,559.486,1070.3100000000002
2011-01-18,97.8,675.0,2444.25,559.56,1072.3500000000001
